cell_line,psi_true,ci_t_lo,ci_t_hi,psi_rot,ci_r_lo,ci_r_hi,psi_diff,n_genes,p_two_sided,q_fdr
ACH-000188,,,,,,,,150,,1.0
ACH-000189,,,,,,,,150,,1.0
ACH-000190,,,,,,,,150,,1.0
ACH-000191,,,,,,,,150,,1.0
ACH-000192,,,,,,,,150,,1.0
ACH-000195,,,,,,,,150,,1.0
ACH-000198,,,,,,,,150,,1.0
ACH-000200,,,,,,,,150,,1.0
ACH-000202,,,,,,,,150,,1.0
ACH-000204,,,,,,,,150,,1.0
ACH-000206,,,,,,,,150,,1.0
ACH-000207,,,,,,,,150,,1.0
ACH-000210,,,,,,,,150,,1.0
ACH-000211,,,,,,,,150,,1.0
ACH-000212,,,,-3.554232113016358,-3.554232113016358,-3.554232113016358,,150,,1.0
ACH-000215,,,,,,,,150,,1.0
ACH-000216,,,,,,,,150,,1.0
ACH-000217,,,,,,,,150,,1.0
ACH-000219,3.326625950274581,3.326625950274581,3.326625950274581,,,,,150,,1.0
ACH-000221,,,,,,,,150,,1.0
ACH-000223,,,,,,,,150,,1.0
ACH-000226,,,,,,,,150,,1.0
ACH-000227,,,,,,,,150,,1.0
ACH-000228,-2.5970116404378785,-2.5970116404378785,-2.5970116404378785,,,,,150,,1.0
ACH-000231,,,,,,,,150,,1.0
ACH-000232,,,,12.60875761719226,7.021255368209074,18.196259866175446,,150,,1.0
ACH-000234,,,,,,,,150,,1.0
ACH-000235,,,,,,,,150,,1.0
ACH-000237,,,,,,,,150,,1.0
ACH-000243,,,,,,,,150,,1.0
ACH-000244,51.209201619207604,51.209201619207604,51.209201619207604,,,,,150,,1.0
ACH-000246,-7.381179083881047,-7.381179083881047,-7.381179083881047,,,,,150,,1.0
ACH-000247,,,,,,,,150,,1.0
ACH-000248,,,,,,,,150,,1.0
ACH-000249,,,,,,,,150,,1.0
ACH-000250,,,,,,,,150,,1.0
ACH-000251,,,,,,,,150,,1.0
ACH-000253,,,,,,,,150,,1.0
ACH-000256,,,,,,,,150,,1.0
ACH-000257,,,,,,,,150,,1.0
ACH-000258,,,,,,,,150,,1.0
ACH-000259,,,,,,,,150,,1.0
ACH-000260,-4.6397285449983645,-4.6397285449983645,-4.6397285449983645,,,,,150,,1.0
ACH-000261,27.85715810191295,27.85715810191295,27.85715810191295,,,,,150,,1.0
ACH-000262,,,,5.532862810637668,5.532862810637668,5.532862810637668,,150,,1.0
ACH-000263,,,,,,,,150,,1.0
ACH-000264,,,,,,,,150,,1.0
ACH-000265,,,,,,,,150,,1.0
ACH-000272,,,,,,,,150,,1.0
ACH-000273,25.271122271858875,25.271122271858875,25.271122271858875,,,,,150,,1.0
ACH-000276,,,,,,,,150,,1.0
ACH-000277,10.574498725318039,10.574498725318039,10.574498725318039,,,,,150,,1.0
ACH-000278,,,,,,,,150,,1.0
ACH-000279,,,,,,,,150,,1.0
ACH-000280,,,,,,,,150,,1.0
ACH-000281,,,,,,,,150,,1.0
ACH-000286,,,,,,,,150,,1.0
ACH-000288,,,,31.552436084589317,31.552436084589317,31.552436084589317,,150,,1.0
ACH-000290,,,,,,,,150,,1.0
ACH-000293,,,,,,,,150,,1.0
ACH-000295,,,,,,,,150,,1.0
ACH-000302,,,,,,,,150,,1.0
ACH-000304,,,,,,,,150,,1.0
ACH-000307,-9.600769027745946,-9.600769027745946,-9.600769027745946,,,,,150,,1.0
ACH-000308,,,,,,,,150,,1.0
ACH-000310,,,,,,,,150,,1.0
ACH-000311,,,,,,,,150,,1.0
ACH-000312,,,,,,,,150,,1.0
ACH-000313,,,,,,,,150,,1.0
ACH-000315,,,,,,,,150,,1.0
ACH-000316,,,,,,,,150,,1.0
ACH-000317,,,,,,,,150,,1.0
ACH-000318,,,,,,,,150,,1.0
ACH-000319,,,,,,,,150,,1.0
ACH-000320,,,,,,,,150,,1.0
ACH-000322,,,,,,,,150,,1.0
ACH-000323,1.0730554384595763,-0.15291904606373447,2.299029922982887,,,,,150,,1.0
ACH-000324,,,,,,,,150,,1.0
ACH-000325,,,,,,,,150,,1.0
ACH-000326,0.0,0.0,0.0,,,,,150,,1.0
ACH-000329,,,,,,,,150,,1.0
ACH-000330,,,,,,,,150,,1.0
ACH-000331,,,,,,,,150,,1.0
ACH-000332,,,,,,,,150,,1.0
ACH-000334,,,,,,,,150,,1.0
ACH-000335,,,,,,,,150,,1.0
ACH-000336,,,,,,,,150,,1.0
ACH-000337,,,,,,,,150,,1.0
ACH-000338,,,,,,,,150,,1.0
ACH-000341,,,,,,,,150,,1.0
ACH-000343,,,,,,,,150,,1.0
ACH-000344,,,,,,,,150,,1.0
ACH-000345,,,,,,,,150,,1.0
ACH-000348,,,,-0.23675833208032585,-0.23675833208032585,-0.23675833208032585,,150,,1.0
ACH-000350,,,,,,,,150,,1.0
ACH-000352,,,,,,,,150,,1.0
ACH-000354,,,,,,,,150,,1.0
ACH-000355,,,,,,,,150,,1.0
ACH-000356,,,,,,,,150,,1.0
ACH-000359,,,,,,,,150,,1.0
ACH-000361,,,,,,,,150,,1.0
ACH-000362,,,,,,,,150,,1.0
ACH-000363,3.0493235186814354,3.0493235186814354,3.0493235186814354,,,,,150,,1.0
ACH-000364,,,,,,,,150,,1.0
ACH-000365,,,,,,,,150,,1.0
ACH-000366,,,,,,,,150,,1.0
ACH-000367,,,,,,,,150,,1.0
ACH-000368,-35.705827759226864,-35.705827759226864,-35.705827759226864,,,,,150,,1.0
ACH-000370,,,,,,,,150,,1.0
ACH-000371,,,,,,,,150,,1.0
ACH-000374,,,,,,,,150,,1.0
ACH-000375,16.60494424708529,16.60494424708529,16.60494424708529,,,,,150,,1.0
ACH-000376,,,,46.62404233791648,46.62404233791648,46.62404233791648,,150,,1.0
ACH-000377,89.19224859598418,89.19224859598418,89.19224859598418,,,,,150,,1.0
ACH-000378,2.485130360213408,2.485130360213408,2.485130360213408,,,,,150,,1.0
ACH-000381,4.1497402683816675,4.1497402683816675,4.1497402683816675,,,,,150,,1.0
ACH-000385,,,,,,,,150,,1.0
ACH-000387,,,,,,,,150,,1.0
ACH-000389,,,,7.237144834736131,7.237144834736131,7.237144834736131,,150,,1.0
ACH-000390,,,,,,,,150,,1.0
ACH-000391,,,,,,,,150,,1.0
ACH-000393,,,,-5.228520006247385,-5.228520006247385,-5.228520006247385,,150,,1.0
ACH-000395,,,,,,,,150,,1.0
ACH-000397,,,,,,,,150,,1.0
ACH-000401,13.079828020940337,13.079828020940337,13.079828020940337,,,,,150,,1.0
ACH-000402,11.650468152796634,11.650468152796634,11.650468152796634,,,,,150,,1.0
ACH-000403,4.15048761275272,4.15048761275272,4.15048761275272,,,,,150,,1.0
ACH-000405,,,,,,,,150,,1.0
