cell_line,k_dir_true,n_genes_true,k_dir_rot,n_genes_rot,rate_true_raw,rate_rot_raw,rate_true_eb,rate_rot_eb,post_diff_mean,post_diff_lo,post_diff_hi,post_prob_gt0,split_half_rho,n_reps
ACH-000878,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017241743187575165,-0.008941080246472749,0.0012996877276688227,0.114,,
ACH-000879,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018238901257242733,-0.009899518422618839,0.002112195547682779,0.115,,
ACH-000880,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0016603043305628605,-0.008914524854274016,0.0020567393211196544,0.108,,
ACH-000881,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005649215390867016,-0.016572432424227214,3.3487797461361635e-05,0.026,,
ACH-000882,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001872485021063803,-0.009328933592609738,0.0009487284554856386,0.099,,
ACH-000887,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005475004838873266,-0.01675534443803357,0.00020305951028104995,0.03,,
ACH-000888,0,150,1,150,0.0,0.006666666666666667,0.00029840054916293457,0.005665238227342146,-0.005295436109584871,-0.016994837233883356,0.0002267360480787141,0.028,,
ACH-000889,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0018781706072104637,-0.009594470751867954,0.0020407625636510176,0.104,,
ACH-000890,0,150,2,150,0.0,0.013333333333333334,0.00029840054916293457,0.009230466070727653,-0.00931929980836343,-0.02400746401461818,-0.001437624900069398,0.007,,
ACH-000894,0,150,3,150,0.0,0.02,0.00029840054916293457,0.012795693914113157,-0.01187138435597808,-0.027668992327818047,-0.0029195468842118755,0.002,,
ACH-000896,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.001731157129196893,-0.009187185067750844,0.002141950418414898,0.122,,
ACH-000898,0,150,0,150,0.0,0.0,0.00029840054916293457,0.002100010383956642,-0.0017309783097355302,-0.009540056762733517,0.0032874024917672307,0.113,,
